iter	Logloss
0	0.6501814161
1	0.6366055513
2	0.6301919331
3	0.6263041792
4	0.6232872663
5	0.6209889338
6	0.6192406092
7	0.6177022581
8	0.6162972361
9	0.6148885297
10	0.6137554878
11	0.6115648163
12	0.6105119853
13	0.609542142
14	0.6088195173
15	0.6079411532
16	0.6073946656
17	0.6066964093
18	0.605812728
19	0.6053732932
20	0.6048040627
21	0.6042087049
22	0.6036058661
23	0.6032100753
24	0.6023398849
25	0.6018451051
26	0.6014945136
27	0.6009500318
28	0.6005291335
29	0.6001707003
30	0.599739035
31	0.5992754089
32	0.5989564437
33	0.5985785386
34	0.5982615737
35	0.5977708983
36	0.5974527792
37	0.5971542764
38	0.5968274455
39	0.5964869437
40	0.596004717
41	0.5957261738
42	0.5954292527
43	0.59513258
44	0.5948946852
45	0.5945303712
46	0.5942887442
47	0.5940288442
48	0.5937729485
49	0.5935207855
50	0.5932261721
51	0.5928996041
52	0.5925957801
53	0.5923041807
54	0.5920579258
55	0.5917720762
56	0.591536437
57	0.5913356581
58	0.591152203
59	0.590934892
60	0.5906628233
61	0.5904753889
62	0.5902874501
63	0.5899950691
64	0.5898250666
65	0.5896767315
66	0.5894994318
67	0.5893667943
68	0.5890826971
69	0.5888760381
70	0.5887287249
71	0.5884632822
72	0.5882893143
73	0.588119217
74	0.5879446219
75	0.5877791334
76	0.5876173761
77	0.5873402985
78	0.5871627157
79	0.5869662536
80	0.5867300161
81	0.5864776353
82	0.586310577
83	0.5860825765
84	0.5859058305
85	0.585731654
86	0.5852935791
87	0.5851344741
88	0.5850208234
89	0.5847854586
90	0.5846250475
91	0.5844456089
92	0.5842720619
93	0.584086647
94	0.5838977144
95	0.5837064837
96	0.5835553632
97	0.5834280976
98	0.5832354589
99	0.5831169939
100	0.5829931378
101	0.5828610448
102	0.5826849569
103	0.5825820254
104	0.5823919921
105	0.5822825591
106	0.5821102256
107	0.5819690652
108	0.5817923172
109	0.5815866991
110	0.5814911783
111	0.5813773844
112	0.5812688302
113	0.5810737083
114	0.5809873449
115	0.5808252868
116	0.5806636977
117	0.5805184174
118	0.5803905358
119	0.5802578909
120	0.5801953495
121	0.5799132338
122	0.5797888972
123	0.5797000347
124	0.5794094352
125	0.5793331464
126	0.5791883686
127	0.5790650165
128	0.5789399638
129	0.5788571257
130	0.5787623547
131	0.5786369275
132	0.5785378328
133	0.5784201392
134	0.5782798759
135	0.5781757463
136	0.5780365719
137	0.577939993
138	0.577787371
139	0.5777088527
140	0.5776001238
141	0.5775227643
142	0.5774169974
143	0.5773013681
144	0.5771498239
145	0.5770336896
146	0.5769203123
147	0.5767435882
148	0.5765989457
149	0.5765116594
150	0.5763789651
151	0.5762239797
152	0.5761216665
153	0.575977831
154	0.5759030541
155	0.5758037951
156	0.5756750245
157	0.5755375423
158	0.5754411561
159	0.5753063417
160	0.575158106
161	0.5749871187
162	0.5748182578
163	0.5747426655
164	0.5746617432
165	0.574587848
166	0.5744778814
167	0.5743999816
168	0.5742898015
169	0.5742281544
170	0.5741439609
171	0.5739707042
172	0.5738550083
173	0.5737002605
174	0.5735829508
175	0.5734925437
176	0.5733567321
177	0.5732667085
178	0.5731491425
179	0.5730540583
180	0.5729431237
181	0.5728644708
182	0.5727397067
183	0.5726326377
184	0.5725511999
185	0.5724374487
186	0.5722954609
187	0.5722060715
188	0.572109618
189	0.5720186262
190	0.5719646505
191	0.571815503
192	0.5717166652
193	0.5716569364
194	0.5715947795
195	0.5714928144
196	0.5713578649
197	0.57127424
198	0.5711737915
199	0.5710790284
200	0.571000512
201	0.570868928
202	0.5707292779
203	0.570645909
204	0.5705248619
205	0.570412939
206	0.5703295066
207	0.57021592
208	0.5700989426
209	0.5700373503
210	0.5699436976
211	0.5698571317
212	0.5697249353
213	0.569670585
214	0.5696115066
215	0.5695241317
216	0.5694562802
217	0.5694081463
218	0.5693298158
219	0.5692239977
220	0.5691766432
221	0.5691270174
222	0.5690289161
223	0.5689289789
224	0.5688016629
225	0.5686518855
226	0.5685333787
227	0.5684517741
228	0.5683484509
229	0.5683007009
230	0.5682525705
231	0.5681928836
232	0.5681461558
233	0.5680769412
234	0.5680269142
235	0.5679100792
236	0.5678408558
237	0.5677969669
238	0.5676821468
239	0.5675719166
240	0.5675017852
241	0.5673858778
242	0.5673450709
243	0.5672941203
244	0.5672191822
245	0.5671310236
246	0.5670311925
247	0.5669267105
248	0.5668498483
249	0.5667230022
250	0.5666519191
251	0.5665545914
252	0.566479321
253	0.5663842173
254	0.5663311088
255	0.5662505155
256	0.5661485439
257	0.5660523702
258	0.5659536938
259	0.5658848788
260	0.5657698927
261	0.5657057346
262	0.5656271843
263	0.5655635765
264	0.5654867689
265	0.5653951336
266	0.565340188
267	0.5652648818
268	0.5652097315
269	0.5651035319
270	0.5650472328
271	0.5649682265
272	0.564911903
273	0.5648256797
274	0.5647746066
275	0.564710909
276	0.56459356
277	0.564508689
278	0.5644415512
279	0.5643695376
280	0.5642845844
281	0.564211268
282	0.5641521839
283	0.5640397376
284	0.5639926117
285	0.5639090965
286	0.5638199743
287	0.5637578179
288	0.5636689768
289	0.563610115
290	0.5635389143
291	0.5634802792
292	0.5633754046
293	0.5632760906
294	0.5632173785
295	0.5631267833
296	0.5630676072
297	0.5629481873
298	0.5628660314
299	0.5627596563
300	0.5626716129
301	0.5626283046
302	0.562509364
303	0.5624219165
304	0.562326134
305	0.5622604563
306	0.5621900916
307	0.5620891877
308	0.5620486255
309	0.5619535432
310	0.5619062943
311	0.5618548523
312	0.5618082859
313	0.5617446498
314	0.5616738266
315	0.5615799975
316	0.5615006766
317	0.5614374349
318	0.5613678035
319	0.5613246189
320	0.561245514
321	0.5611949264
322	0.5611243307
323	0.5610663643
324	0.5610256623
325	0.5609632841
326	0.5609153532
327	0.5608691155
328	0.5608054156
329	0.5607260903
330	0.5606661389
331	0.5606225545
332	0.5605403633
333	0.5604570651
334	0.5604137084
335	0.5603627736
336	0.5602671779
337	0.5602221968
338	0.5601368728
339	0.5601071507
340	0.5600433007
341	0.5599651408
342	0.5598860002
343	0.5598021638
344	0.559702806
345	0.5596488897
346	0.5595862106
347	0.559531368
348	0.5594807936
349	0.5594193833
350	0.5593626969
351	0.5592667437
352	0.559169849
353	0.5590916182
354	0.5590382879
355	0.5589620965
356	0.5589226032
357	0.5588751253
358	0.5587838161
359	0.5587207935
360	0.5586613973
361	0.5586054373
362	0.5585384144
363	0.5584847452
364	0.558417892
365	0.5583661847
366	0.5583084935
367	0.5582702445
368	0.5582254712
369	0.5581733778
370	0.5581233438
371	0.5580574847
372	0.5580091395
373	0.5579377852
374	0.5578834388
375	0.5578249475
376	0.557736944
377	0.5576714945
378	0.5576074813
379	0.5575607677
380	0.5575175091
381	0.5574779702
382	0.5573897755
383	0.557349039
384	0.5573198443
385	0.5572510403
386	0.5572076395
387	0.5571699992
388	0.5570992805
389	0.557047261
390	0.5569667714
391	0.556923276
392	0.5568474044
393	0.5567680508
394	0.5567157097
395	0.5566674154
396	0.55661157
397	0.5565645912
398	0.5565295153
399	0.5564976636
400	0.5564374639
401	0.556352752
402	0.5562747671
403	0.5562121648
404	0.5561333234
405	0.5560795632
406	0.5560385873
407	0.5559753944
408	0.5559080016
409	0.5558645445
410	0.555792809
411	0.5557474056
412	0.5557108549
413	0.555601869
414	0.5555211438
415	0.5554477459
416	0.5553762593
417	0.5553527439
418	0.5553143767
419	0.5552511612
420	0.5551757826
421	0.5551249427
422	0.5550698244
423	0.5550269539
424	0.5549814395
425	0.5549282445
426	0.5548889984
427	0.554851824
428	0.5547802747
429	0.5547193064
430	0.5546649579
431	0.5546133323
432	0.5545499115
433	0.5544936518
434	0.5544486953
435	0.554375552
436	0.5543297933
437	0.5542688686
438	0.5542026938
439	0.5541443697
440	0.5541014
441	0.5540366752
442	0.5539878998
443	0.5539329942
444	0.5538750764
445	0.5538279309
446	0.5537672697
447	0.5537142953
448	0.5536747217
449	0.5536340722
450	0.5535714554
451	0.5535252255
452	0.5534815169
453	0.5534439911
454	0.5534120981
455	0.5533700534
456	0.5533242448
457	0.5532613772
458	0.5532062517
459	0.5531394341
460	0.5530840454
461	0.5530315647
462	0.5529927549
463	0.5529574549
464	0.5529155035
465	0.5528789831
466	0.5528424758
467	0.5527949879
468	0.5527613075
469	0.5527349162
470	0.5526947467
471	0.5526466406
472	0.5525934042
473	0.5525371205
474	0.5524773899
475	0.5524364263
476	0.5523735483
477	0.5523278524
478	0.5522977237
479	0.5522447176
480	0.552196992
481	0.5521582894
482	0.5521237739
483	0.5520690164
484	0.5520031028
485	0.5519506784
486	0.5519010378
487	0.5518465289
488	0.5517834554
489	0.5517425406
490	0.5517082592
491	0.5516726159
492	0.5516205861
493	0.551572445
494	0.5515282534
495	0.551477085
496	0.5514296596
497	0.5513812561
498	0.5513159994
499	0.5512566671
500	0.5512117657
501	0.5511518131
502	0.5510762832
503	0.5510364127
504	0.5509615924
505	0.5509337748
506	0.5508590559
507	0.5507930584
508	0.5507202115
509	0.550653241
510	0.5505572478
511	0.5505088614
512	0.5504411018
513	0.5503897594
514	0.5503242971
515	0.5502712839
516	0.5502310064
517	0.55019303
518	0.5501558838
519	0.5501077258
520	0.5500662668
521	0.5500345245
522	0.5500018789
523	0.5499600547
524	0.5499182921
525	0.5498795452
526	0.5498464985
527	0.5498090942
528	0.5497808441
529	0.5497403337
530	0.5497086805
531	0.5496342469
532	0.5495462585
533	0.5495161072
534	0.549476635
535	0.5494372226
536	0.5493806307
537	0.5493201069
538	0.5492684364
539	0.549210993
540	0.5491626529
541	0.5491240067
542	0.5490856722
543	0.5490398884
544	0.5489928389
545	0.548960512
546	0.5489325747
547	0.5489011925
548	0.5488533411
549	0.5488291902
550	0.5487745092
551	0.5487338358
552	0.5486804359
553	0.5486108647
554	0.5485581212
555	0.5485247297
556	0.5484747796
557	0.5484131782
558	0.548356301
559	0.5482975498
560	0.548255301
561	0.5482176009
562	0.5481613905
563	0.5481206885
564	0.5480699977
565	0.5480383471
566	0.5479930547
567	0.5479619772
568	0.5479220693
569	0.5478811833
570	0.5478339868
571	0.5477754081
572	0.5477294161
573	0.5476939525
574	0.5476449977
575	0.5476244402
576	0.5475737248
577	0.5475260696
578	0.5474855714
579	0.5474149543
580	0.5473716052
581	0.5473262889
582	0.5472836213
583	0.5472330124
584	0.5472095374
585	0.5471809734
586	0.5471581834
587	0.5471090399
588	0.5470548995
589	0.5470154177
590	0.5469812616
591	0.5469445161
592	0.5469154232
593	0.5468894134
594	0.5468510842
595	0.5468010733
596	0.5467661257
597	0.5467188987
598	0.5466536818
599	0.546607542
600	0.5465706426
601	0.5465252294
602	0.5464918146
603	0.5464564153
604	0.5464265479
605	0.5463719836
606	0.5463063908
607	0.5462566481
608	0.5462189907
609	0.5461645183
610	0.5461294194
611	0.5460781339
612	0.5460402744
613	0.5459995319
614	0.5459733165
615	0.5459317817
616	0.5459039352
617	0.5458650571
618	0.545811205
619	0.5457877968
620	0.5457549085
621	0.5457111227
622	0.5456849641
623	0.5456494894
624	0.5456050633
625	0.5455691958
626	0.5455299048
627	0.5454961232
628	0.5454557399
629	0.5454180897
630	0.5453663401
631	0.545338456
632	0.5453101421
633	0.5452659373
634	0.5452240745
635	0.5451880027
636	0.5451547813
637	0.5451112062
638	0.5450314844
639	0.545005099
640	0.5449626548
641	0.5449134029
642	0.5448683873
643	0.5448339465
644	0.5447941714
645	0.5447292653
646	0.5446875941
647	0.5446321347
648	0.5445982505
649	0.5445661612
650	0.5445299809
651	0.5444931533
652	0.5444414126
653	0.5443875378
654	0.5443584302
655	0.5443269524
656	0.5442898535
657	0.5442562507
658	0.5442239056
659	0.5441899335
660	0.544160856
661	0.544137472
662	0.5441036771
663	0.5440601756
664	0.5440323361
665	0.5439952883
666	0.5439526138
667	0.5439110065
668	0.5438646536
669	0.5437991101
670	0.5437644322
671	0.5437275975
672	0.5436710624
673	0.5436226744
674	0.5436009082
675	0.5435686228
676	0.5435279148
677	0.5434773013
678	0.5434168399
679	0.5433548849
680	0.5433086486
681	0.5432778182
682	0.5432547848
683	0.5432163623
684	0.5431633838
685	0.5431215066
686	0.5430873461
687	0.5430535742
688	0.5430183211
689	0.5429939285
690	0.5429570111
691	0.5429143584
692	0.5428796036
693	0.5428380152
694	0.5428004039
695	0.5427496319
696	0.5427038743
697	0.542668767
698	0.5426375794
699	0.5425972436
